Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
11/24/2020,14.22999954,14.26000023,13.30000019,13.67000008,7183200,0,0
11/23/2020,12.89999962,14.11999989,12.67000008,13.89999962,9599100,0,0
11/20/2020,12.55000019,13.46000004,12.53999996,12.71000004,8395400,0,0
11/19/2020,11.60000038,12.78999996,11.44999981,12.46000004,11787600,0,0
11/18/2020,11.80000019,12.03999996,11.56000042,11.56999969,3169200,0,0
11/17/2020,11.64999962,11.92000008,11.22999954,11.63000011,6678200,0,0
11/16/2020,11.15999985,12.65999985,10.72000027,12.06000042,9774800,0,0
11/13/2020,11.35999966,11.55000019,11,11.01000023,3535900,0,0
11/12/2020,11.73999977,11.86999989,10.97000027,11.13000011,4353300,0,0
11/11/2020,11.5,11.94999981,11.21000004,11.75,4882600,0,0
11/10/2020,11.5,11.65999985,10.82999992,11.10000038,3826000,0,0
11/9/2020,12.76000023,12.93000031,11.25,11.48999977,6244900,0,0
11/6/2020,11.52000046,12.17000008,11.31999969,11.85999966,5518200,0,0
11/5/2020,11.27000046,11.84000015,11.06000042,11.44999981,4705200,0,0
11/4/2020,11.76000023,11.77000046,10.60999966,10.90999985,5807900,0,0
11/3/2020,10.75,11.85999966,10.63000011,11.56999969,7454500,0,0
11/2/2020,10.81999969,11.09000015,10.5,10.75,5227000,0,0
10/30/2020,11.64000034,11.64000034,10.35999966,10.47000027,11546900,0,0
10/29/2020,11.88000011,12.25,11.68000031,11.72999954,4165800,0,0
10/28/2020,12.27000046,13.05000019,11.77999973,11.81999969,6388600,0,0
10/27/2020,13.71000004,13.71000004,12.35999966,12.68999958,7231000,0,0
10/26/2020,14.93000031,15.44999981,13.26000023,13.44999981,13376300,0,0
10/23/2020,15.05000019,15.38000011,14.55000019,15,6507300,0,0
10/22/2020,14.19999981,15.86999989,14.18999958,14.90999985,16212200,0,0
10/21/2020,13.89999962,14.42000008,13.80000019,14.10000038,5361900,0,0
10/20/2020,14.02999973,14.14000034,13.67000008,13.85999966,6604000,0,0
10/19/2020,13.43999958,14.5,13.38000011,13.90999985,13169100,0,0
10/16/2020,13.77000046,13.89999962,13.07999992,13.31000042,11651600,0,0
10/15/2020,11.98999977,15.10000038,11.98999977,13.82999992,39894800,0,0
10/14/2020,12.67000008,12.68000031,12.05000019,12.25,10776800,0,0
10/13/2020,11.72999954,12.42000008,11.64999962,11.88000011,10179700,0,0
10/12/2020,11.65999985,12.77000046,11.39999962,11.80000019,23655700,0,0
10/9/2020,12.82999992,14.80000019,11.89999962,12.02000046,77152800,0,0
10/8/2020,9.539999962,13.64000034,9.18999958,13.48999977,76453600,0,0
10/7/2020,9.229999542,9.56000042,9.170000076,9.359999657,3308600,0,0
10/6/2020,9.56000042,9.840000153,9.100000381,9.130000114,4535400,0,0
10/5/2020,9.43999958,9.590000153,9.25,9.460000038,2805000,0,0
10/2/2020,9.380000114,9.779999733,9.300000191,9.390000343,4340500,0,0
10/1/2020,10.09000015,10.25,9.68999958,9.770000458,4554100,0,0
9/30/2020,10.25,10.76000023,10.06000042,10.19999981,6079000,0,0
9/29/2020,10,10.64999962,9.930000305,10.35000038,5237600,0,0
9/28/2020,10.15999985,10.26000023,9.550000191,10.09000015,6764300,0,0
9/25/2020,9.18999958,10.18000031,9.100000381,10.02000046,7515200,0,0
9/24/2020,9.710000038,9.81000042,9.010000229,9.140000343,7938800,0,0
9/23/2020,10.60000038,10.85999966,9.920000076,10.03999996,10651200,0,0
9/22/2020,10.44999981,11.17000008,9.899999619,10.56000042,34752500,0,0
9/21/2020,9.350000381,9.600000381,8.380000114,8.75,7639800,0,0
9/18/2020,9.199999809,9.770000458,8.909999847,9.470000267,17407500,0,0
9/17/2020,8.569999695,9.770000458,8.409999847,9.199999809,17026700,0,0
9/16/2020,7.03000021,9.039999962,7.03000021,8.680000305,19256300,0,0
9/15/2020,6.860000134,7.260000229,6.690000057,7.090000153,5743500,0,0
9/14/2020,6.800000191,7,6.429999828,6.909999847,10119000,0,0
9/11/2020,6.260000229,6.329999924,5.869999886,6.090000153,6061200,0,0
9/10/2020,6.650000095,6.949999809,6.190000057,6.230000019,15558300,0,0
9/9/2020,7.960000038,7.989999771,7.309999943,7.349999905,9068100,0,0
9/8/2020,7.550000191,8.279999733,7.480000019,7.699999809,9816600,0,0
9/4/2020,7.78000021,7.920000076,7.170000076,7.650000095,7662000,0,0
9/3/2020,7.880000114,8.449999809,7.239999771,7.820000172,14344500,0,0
9/2/2020,7.800000191,8.050000191,7.110000134,7.710000038,13011100,0,0
9/1/2020,7.300000191,7.820000172,6.769999981,7.650000095,23211000,0,0
8/31/2020,5.769999981,7.150000095,5.690000057,6.679999828,37976000,0,0
8/28/2020,5.300000191,5.570000172,5.21999979,5.389999866,4236900,0,0
8/27/2020,5.110000134,5.380000114,5.019999981,5.25,3384400,0,0
8/26/2020,4.96999979,5.21999979,4.920000076,5.110000134,2779700,0,0
8/25/2020,4.880000114,5.25,4.880000114,4.980000019,2998700,0,0
8/24/2020,5.099999905,5.130000114,4.559999943,4.869999886,4585400,0,0
8/21/2020,4.599999905,5.599999905,4.599999905,5.03000021,10642600,0,0
8/20/2020,4.619999886,4.679999828,4.510000229,4.610000134,2441200,0,0
8/19/2020,4.800000191,4.840000153,4.639999866,4.71999979,2612600,0,0
8/18/2020,4.610000134,4.869999886,4.429999828,4.809999943,3834400,0,0
8/17/2020,4.78000021,4.78000021,4.559999943,4.630000114,2371000,0,0
8/14/2020,4.599999905,4.829999924,4.550000191,4.75,3474400,0,0
8/13/2020,4.519999981,4.710000038,4.5,4.639999866,2128300,0,0
8/12/2020,4.400000095,4.630000114,4.360000134,4.519999981,3057600,0,0
8/11/2020,4.429999828,4.570000172,4.340000153,4.349999905,3138800,0,0
8/10/2020,4.199999809,4.570000172,4.179999828,4.329999924,4561800,0,0
8/7/2020,4.389999866,4.400000095,4.059999943,4.159999847,3341100,0,0
8/6/2020,4.599999905,4.659999847,4.380000114,4.429999828,1901200,0,0
8/5/2020,4.5,4.760000229,4.25,4.630000114,4925700,0,0
8/4/2020,4.130000114,4.739999771,4.130000114,4.429999828,10361400,0,0
8/3/2020,4.03000021,4.25,4,4.150000095,2517600,0,0
7/31/2020,4.059999943,4.159999847,3.99000001,4.010000229,1879400,0,0
7/30/2020,4,4.230000019,3.970000029,4.099999905,2398500,0,0
7/29/2020,3.940000057,4.179999828,3.920000076,4.059999943,2879600,0,0
7/28/2020,3.960000038,4.050000191,3.920000076,3.940000057,4555400,0,0
7/27/2020,4.019999981,4.119999886,3.950000048,4.010000229,2472700,0,0
7/24/2020,4.059999943,4.230000019,4.010000229,4.03000021,2215900,0,0
7/23/2020,4.090000153,4.309999943,4.059999943,4.110000134,3237200,0,0
7/22/2020,4.019999981,4.119999886,3.920000076,4.110000134,2523500,0,0
7/21/2020,3.900000095,4.090000153,3.880000114,4.010000229,3341000,0,0
7/20/2020,3.950000048,4.059999943,3.769999981,3.849999905,3401100,0,0
7/17/2020,4.159999847,4.230000019,3.940000057,3.960000038,3065900,0,0
7/16/2020,4.190000057,4.199999809,4.090000153,4.170000076,1330100,0,0
7/15/2020,4.130000114,4.289999962,4.130000114,4.190000057,1474100,0,0
7/14/2020,4.21999979,4.309999943,4.070000172,4.079999924,2261600,0,0
7/13/2020,4.349999905,4.550000191,4.260000229,4.260000229,4216200,0,0
7/10/2020,4.199999809,4.380000114,4.179999828,4.340000153,1410800,0,0
7/9/2020,4.269999981,4.320000172,4.130000114,4.210000038,1992600,0,0
7/8/2020,4.099999905,4.289999962,4.03000021,4.260000229,2052800,0,0
7/7/2020,4.199999809,4.25,4.059999943,4.090000153,2456600,0,0
7/6/2020,4.309999943,4.340000153,4.190000057,4.239999771,2140900,0,0
7/2/2020,4.489999771,4.510000229,4.289999962,4.289999962,1887600,0,0
7/1/2020,4.309999943,4.5,4.309999943,4.440000057,2303700,0,0
6/30/2020,4.329999924,4.510000229,4.199999809,4.340000153,3889000,0,0
6/29/2020,4.349999905,4.519999981,4.300000191,4.380000114,2131200,0,0
6/26/2020,4.480000019,4.5,4.269999981,4.349999905,3801200,0,0
6/25/2020,4.329999924,4.539999962,4.300000191,4.460000038,2450800,0,0
6/24/2020,4.829999924,4.840000153,4.380000114,4.409999847,2976200,0,0
6/23/2020,4.949999809,4.989999771,4.800000191,4.829999924,3205400,0,0
6/22/2020,4.789999962,4.949999809,4.71999979,4.869999886,3178900,0,0
6/19/2020,4.949999809,5.079999924,4.690000057,4.880000114,7366600,0,0
6/18/2020,4.670000076,4.949999809,4.650000095,4.949999809,3423800,0,0
6/17/2020,4.539999962,4.829999924,4.53000021,4.760000229,3593500,0,0
6/16/2020,4.949999809,4.949999809,4.510000229,4.639999866,3121300,0,0
6/15/2020,4.5,4.769999981,4.420000076,4.690000057,3909000,0,0
6/12/2020,4.599999905,4.78000021,4.389999866,4.71999979,4378200,0,0
6/11/2020,4.639999866,4.900000095,4.179999828,4.369999886,6236000,0,0
6/10/2020,4.78000021,5.53000021,4.679999828,5.070000172,10606400,0,0
6/9/2020,5,5,4.550000191,4.960000038,8073400,0,0
6/8/2020,4.28000021,5.139999866,4.269999981,5.010000229,10133700,0,0
6/5/2020,4.289999962,4.409999847,4.090000153,4.139999866,6274400,0,0
6/4/2020,4.440000057,4.71999979,4.369999886,4.46999979,3514300,0,0
6/3/2020,4.239999771,4.519999981,4.199999809,4.440000057,3037400,0,0
6/2/2020,4.269999981,4.309999943,4.059999943,4.179999828,2369400,0,0
6/1/2020,4.119999886,4.360000134,4.019999981,4.130000114,2611600,0,0
5/29/2020,4.329999924,4.420000076,4.050000191,4.059999943,3973500,0,0
5/28/2020,4.75,4.760000229,4.300000191,4.329999924,2183900,0,0
5/27/2020,4.570000172,4.710000038,4.360000134,4.690000057,3146600,0,0
5/26/2020,4.340000153,4.610000134,4.329999924,4.420000076,3545700,0,0
5/22/2020,4.460000038,4.489999771,4.130000114,4.179999828,2379900,0,0
5/21/2020,4.449999809,4.650000095,4.400000095,4.440000057,1971900,0,0
5/20/2020,4.5,4.690000057,4.340000153,4.429999828,2543600,0,0
5/19/2020,4.579999924,4.75,4.369999886,4.440000057,1840700,0,0
5/18/2020,4.400000095,4.630000114,4.360000134,4.579999924,2371700,0,0
5/15/2020,4.050000191,4.449999809,4.039999962,4.21999979,1940600,0,0
5/14/2020,4.150000095,4.190000057,3.960000038,4.130000114,2004900,0,0
5/13/2020,4.539999962,4.539999962,4.070000172,4.210000038,2882900,0,0
5/12/2020,4.78000021,4.920000076,4.460000038,4.539999962,2639200,0,0
5/11/2020,4.920000076,4.960000038,4.75,4.760000229,1699200,0,0
5/8/2020,4.880000114,5.190000057,4.820000172,4.980000019,2353700,0,0
5/7/2020,4.829999924,4.929999828,4.650000095,4.869999886,2500800,0,0
5/6/2020,5.400000095,5.400000095,4.900000095,4.929999828,3369600,0,0
5/5/2020,5.550000191,5.630000114,5.349999905,5.389999866,2105900,0,0
5/4/2020,5.840000153,5.929999828,5.400000095,5.480000019,4068100,0,0
5/1/2020,5.650000095,6.179999828,5.449999809,6.050000191,4005600,0,0
4/30/2020,5.869999886,5.980000019,5.639999866,5.730000019,2173300,0,0
4/29/2020,5.829999924,6.090000153,5.449999809,6.039999962,3369600,0,0
4/28/2020,5.920000076,6.039999962,5.059999943,5.639999866,5200200,0,0
4/27/2020,4.849999905,5.989999771,4.809999943,5.820000172,7275100,0,0
4/24/2020,4.78000021,4.849999905,4.659999847,4.769999981,2236200,0,0
4/23/2020,4.75,4.889999866,4.579999924,4.699999809,2265900,0,0
4/22/2020,5.139999866,5.170000076,4.829999924,4.889999866,2677800,0,0
4/21/2020,5.230000019,5.300000191,4.760000229,4.78000021,4142100,0,0
4/20/2020,4.849999905,5.900000095,4.78000021,5.610000134,6085000,0,0
4/17/2020,5.21999979,5.28000021,4.429999828,4.880000114,5653200,0,0
4/16/2020,5.119999886,5.440000057,4.880000114,5.03000021,3371900,0,0
4/15/2020,5.659999847,5.670000076,4.900000095,5.269999981,7499900,0,0
4/14/2020,5.210000038,6.46999979,5.139999866,5.949999809,13506600,0,0
4/13/2020,4.25,4.760000229,4.159999847,4.739999771,6844500,0,0
4/9/2020,3.599999905,4.25,3.49000001,3.890000105,5908600,0,0
4/8/2020,3.230000019,3.670000076,3.200000048,3.410000086,2884500,0,0
4/7/2020,3.390000105,3.440000057,3.099999905,3.269999981,2836900,0,0
4/6/2020,2.859999895,3.200000048,2.829999924,3.089999914,3340500,0,0
4/3/2020,2.849999905,2.940000057,2.569999933,2.799999952,3830400,0,0
4/2/2020,3.25999999,3.349999905,2.849999905,2.849999905,4064300,0,0
4/1/2020,3.450000048,3.49000001,3.119999886,3.25,4568700,0,0
3/31/2020,3.630000114,3.799999952,3.5,3.5,2300900,0,0
3/30/2020,4.21999979,4.269999981,3.650000095,3.650000095,3350600,0,0
3/27/2020,4.940000057,5.090000153,4.150000095,4.21999979,7024800,0,0
3/26/2020,4.239999771,4.710000038,4.239999771,4.409999847,6185700,0,0
3/25/2020,4.150000095,4.489999771,4.039999962,4.170000076,3592100,0,0
3/24/2020,3.950000048,4.210000038,3.890000105,4.159999847,6805600,0,0
3/23/2020,3.579999924,3.859999895,3.5,3.809999943,6009800,0,0
3/20/2020,4.079999924,4.079999924,3.650000095,3.75999999,7722200,0,0
3/19/2020,3.710000038,4.199999809,3.549999952,4.190000057,5039500,0,0
3/18/2020,4.099999905,4.25,3.5,3.769999981,3651700,0,0
3/17/2020,4.400000095,4.650000095,4.110000134,4.230000019,3562200,0,0
3/16/2020,3.930000067,4.570000172,3.900000095,4.369999886,4866700,0,0
3/13/2020,4.130000114,4.650000095,3.849999905,4.590000153,5787200,0,0
3/12/2020,3.700000048,4.039999962,3.480000019,3.980000019,5123400,0,0
3/11/2020,4.139999866,4.25,4,4.139999866,4414100,0,0
3/10/2020,3.940000057,4.260000229,3.799999952,4.230000019,4863200,0,0
3/9/2020,3.589999914,3.970000029,3.5,3.700000048,2732000,0,0
3/6/2020,3.839999914,4.070000172,3.75999999,3.920000076,2096800,0,0
3/5/2020,3.700000048,3.99000001,3.589999914,3.960000038,3599400,0,0
3/4/2020,3.710000038,3.829999924,3.460000038,3.769999981,4257600,0,0
3/3/2020,3.880000114,3.890000105,3.5,3.630000114,4282500,0,0
3/2/2020,3.599999905,3.849999905,3.390000105,3.829999924,3208400,0,0
2/28/2020,3.339999914,3.720000029,3.339999914,3.599999905,4692200,0,0
2/27/2020,3.230000019,3.630000114,3.180000067,3.470000029,3879500,0,0
2/26/2020,3.579999924,3.619999886,3.359999895,3.390000105,4724800,0,0
2/25/2020,3.769999981,3.789999962,3.549999952,3.559999943,4447900,0,0
2/24/2020,3.900000095,3.930000067,3.700000048,3.700000048,3566300,0,0
2/21/2020,4.119999886,4.179999828,3.99000001,4.039999962,1695700,0,0
2/20/2020,4.159999847,4.300000191,4.110000134,4.139999866,1562300,0,0
2/19/2020,4.059999943,4.269999981,3.920000076,4.150000095,2593100,0,0
2/18/2020,4.010000229,4.079999924,3.960000038,4.059999943,1467600,0,0
2/14/2020,4.110000134,4.190000057,4.019999981,4.019999981,1582700,0,0
2/13/2020,4.119999886,4.260000229,4.070000172,4.110000134,2081700,0,0
2/12/2020,4.130000114,4.510000229,4.070000172,4.190000057,4820600,0,0
2/11/2020,3.980000019,4.239999771,3.950000048,4.019999981,3415000,0,0
2/10/2020,3.849999905,4.099999905,3.74000001,3.940000057,2777000,0,0
2/7/2020,4.110000134,4.130000114,3.769999981,3.809999943,2742300,0,0
2/6/2020,4.199999809,4.300000191,4.139999866,4.139999866,1510300,0,0
2/5/2020,4.150000095,4.409999847,4.139999866,4.179999828,2641700,0,0
2/4/2020,4.03000021,4.25,3.970000029,4.070000172,3563100,0,0
2/3/2020,3.880000114,3.980000019,3.849999905,3.950000048,2026200,0,0
1/31/2020,3.910000086,3.940000057,3.829999924,3.839999914,2891700,0,0
1/30/2020,4.099999905,4.119999886,3.880000114,3.930000067,3006500,0,0
1/29/2020,4.21999979,4.320000172,4.130000114,4.130000114,1552600,0,0
1/28/2020,4.300000191,4.300000191,4.179999828,4.210000038,2144900,0,0
1/27/2020,4.199999809,4.349999905,4.159999847,4.28000021,2122500,0,0
1/24/2020,4.639999866,4.639999866,4.25,4.320000172,4163600,0,0
1/23/2020,4.550000191,4.639999866,4.460000038,4.619999886,1880200,0,0
1/22/2020,4.550000191,4.639999866,4.460000038,4.559999943,2627500,0,0
1/21/2020,4.75,4.75,4.550000191,4.590000153,3532100,0,0
1/17/2020,4.579999924,4.75,4.510000229,4.75,4019500,0,0
1/16/2020,4.610000134,4.710000038,4.519999981,4.619999886,4287100,0,0
1/15/2020,4.659999847,4.730000019,4.550000191,4.610000134,4981100,0,0
1/14/2020,4.78000021,5,4.53000021,4.710000038,12561900,0,0
1/13/2020,5.429999828,5.610000134,5.329999924,5.429999828,3625200,0,0
1/10/2020,5.559999943,5.599999905,5.380000114,5.429999828,2781400,0,0
1/9/2020,5.820000172,5.820000172,5.480000019,5.550000191,2643000,0,0
1/8/2020,5.489999771,5.849999905,5.409999847,5.71999979,5629400,0,0
1/7/2020,5.769999981,5.829999924,5.440000057,5.519999981,5228000,0,0
1/6/2020,5.800000191,5.909999847,5.599999905,5.849999905,3394800,0,0
1/3/2020,6.210000038,6.25,5.840000153,5.880000114,3543900,0,0
1/2/2020,6.139999866,6.46999979,6.070000172,6.309999943,4453600,0,0
12/31/2019,6.079999924,6.389999866,5.989999771,6.079999924,4322600,0,0
12/30/2019,5.880000114,6.25,5.760000229,6.130000114,4482100,0,0
12/27/2019,5.420000076,5.980000019,5.389999866,5.900000095,11041300,0,0
12/26/2019,5.46999979,5.510000229,5.25,5.400000095,4264400,0,0
12/24/2019,5.650000095,5.670000076,5.440000057,5.440000057,3395500,0,0
12/23/2019,6.050000191,6.070000172,5.539999962,5.610000134,6282700,0,0
12/20/2019,6.059999943,6.21999979,5.960000038,5.989999771,5484600,0,0
12/19/2019,6.210000038,6.239999771,6.03000021,6.059999943,4452000,0,0
12/18/2019,6.059999943,6.269999981,5.929999828,6.159999847,5264100,0,0
12/17/2019,5.5,6.079999924,5.489999771,6.059999943,4141400,0,0
12/16/2019,5.389999866,5.590000153,5.389999866,5.5,4406900,0,0
12/13/2019,5.46999979,5.619999886,5.239999771,5.449999809,5439000,0,0
12/12/2019,5.460000038,5.710000038,5.409999847,5.579999924,6387300,0,0
12/11/2019,5.25,5.809999943,5.179999828,5.53000021,19517800,0,0
12/10/2019,6.289999962,6.539999962,6.119999886,6.510000229,9594900,0,0
12/9/2019,6.650000095,6.920000076,6.190000057,6.329999924,6250600,0,0
12/6/2019,6.389999866,6.679999828,6.389999866,6.679999828,4757300,0,0
12/5/2019,6.320000172,6.519999981,6.239999771,6.400000095,4381400,0,0
12/4/2019,6.170000076,6.489999771,6.119999886,6.429999828,2872400,0,0
12/3/2019,6.039999962,6.179999828,5.929999828,6.119999886,2214900,0,0
12/2/2019,6.349999905,6.460000038,6.090000153,6.170000076,2060600,0,0
11/29/2019,6.329999924,6.389999866,6.239999771,6.340000153,1369000,0,0
11/27/2019,6.099999905,6.389999866,6.019999981,6.349999905,3030000,0,0
11/26/2019,6.03000021,6.260000229,6.010000229,6.099999905,2648700,0,0
11/25/2019,5.670000076,6.059999943,5.630000114,6.03000021,2744900,0,0
11/22/2019,5.590000153,5.849999905,5.5,5.659999847,3493100,0,0
11/21/2019,5.460000038,5.579999924,5.349999905,5.5,2784000,0,0
11/20/2019,5.539999962,5.539999962,5.360000134,5.460000038,2666700,0,0
11/19/2019,5.570000172,5.659999847,5.449999809,5.5,3360500,0,0
11/18/2019,5.849999905,5.849999905,5.610000134,5.619999886,2995900,0,0
11/15/2019,6,6.010000229,5.849999905,5.880000114,2165900,0,0
11/14/2019,5.949999809,6.110000134,5.900000095,5.980000019,1708700,0,0
11/13/2019,5.909999847,5.96999979,5.809999943,5.940000057,1533600,0,0
11/12/2019,6.03000021,6.070000172,5.869999886,5.920000076,1834500,0,0
11/11/2019,6.050000191,6.090000153,5.769999981,6.019999981,3109400,0,0
11/8/2019,6.170000076,6.28000021,6.050000191,6.090000153,1968700,0,0
11/7/2019,6.179999828,6.320000172,6.039999962,6.21999979,3129300,0,0
11/6/2019,5.900000095,6.190000057,5.820000172,6.090000153,4128300,0,0
11/5/2019,5.880000114,6.199999809,5.860000134,5.909999847,3374100,0,0
11/4/2019,5.900000095,6.019999981,5.769999981,5.849999905,3670000,0,0
11/1/2019,5.449999809,6,5.429999828,5.840000153,5210400,0,0
10/31/2019,5.630000114,5.690000057,5.309999943,5.440000057,4358600,0,0
10/30/2019,5.760000229,5.829999924,5.519999981,5.730000019,3739500,0,0
10/29/2019,6.210000038,6.25,5.789999962,5.809999943,3918800,0,0
10/28/2019,6.380000114,6.489999771,6.170000076,6.190000057,2854700,0,0
10/25/2019,6.320000172,6.429999828,6.25,6.349999905,2645400,0,0
10/24/2019,6.5,6.550000191,6.03000021,6.420000076,4268200,0,0
10/23/2019,6.329999924,6.619999886,6.230000019,6.429999828,4071400,0,0
10/22/2019,5.929999828,6.440000057,5.929999828,6.389999866,4174500,0,0
10/21/2019,5.980000019,6.159999847,5.820000172,5.929999828,3611600,0,0
10/18/2019,6.03000021,6.050000191,5.769999981,5.940000057,3197100,0,0
10/17/2019,5.889999866,6.050000191,5.800000191,6.03000021,3606600,0,0
10/16/2019,5.579999924,5.909999847,5.579999924,5.880000114,3868700,0,0
10/15/2019,5.599999905,5.909999847,5.590000153,5.610000134,6350900,0,0
10/14/2019,5.320000172,5.590000153,5.21999979,5.579999924,5273900,0,0
10/11/2019,5.139999866,5.489999771,5.139999866,5.369999886,5909200,0,0
10/10/2019,5.019999981,5.150000095,4.960000038,5.050000191,5228000,0,0
10/9/2019,5.25,5.300000191,4.960000038,4.989999771,5809600,0,0
10/8/2019,5.429999828,5.440000057,5.159999847,5.230000019,4823100,0,0
10/7/2019,5.480000019,5.579999924,5.409999847,5.489999771,4154800,0,0
10/4/2019,5.429999828,5.559999943,5.369999886,5.550000191,4213100,0,0
10/3/2019,5.300000191,5.480000019,5.230000019,5.420000076,4346700,0,0
10/2/2019,5.550000191,5.550000191,5.239999771,5.320000172,8154900,0,0
10/1/2019,5.639999866,5.820000172,5.489999771,5.579999924,6592400,0,0
9/30/2019,5.429999828,5.639999866,5.400000095,5.519999981,8919800,0,0
9/27/2019,5.25,5.449999809,5.21999979,5.340000153,5548500,0,0
9/26/2019,5.190000057,5.340000153,5.079999924,5.28000021,6080900,0,0
9/25/2019,5.090000153,5.550000191,5.079999924,5.199999809,12164300,0,0
9/24/2019,5.139999866,5.5,4.980000019,5.010000229,13097900,0,0
9/23/2019,4.679999828,5.199999809,4.610000134,5.019999981,12474000,0,0
9/20/2019,4.590000153,4.800000191,4.5,4.699999809,11603800,0,0
9/19/2019,4.639999866,4.670000076,4.420000076,4.440000057,7860300,0,0
9/18/2019,4.329999924,4.690000057,4.329999924,4.599999905,9796200,0,0
9/17/2019,4.300000191,4.340000153,4.130000114,4.329999924,6406000,0,0
9/16/2019,4.300000191,4.46999979,4.269999981,4.349999905,6761300,0,0
9/13/2019,4.619999886,4.769999981,4.369999886,4.409999847,7662200,0,0
9/12/2019,4.599999905,4.809999943,4.429999828,4.579999924,8908700,0,0
9/11/2019,4.190000057,4.949999809,3.970000029,4.590000153,34005000,0,0
9/10/2019,4.869999886,5.099999905,4.510000229,5.090000153,16659200,0,0
9/9/2019,4.349999905,4.920000076,4.349999905,4.760000229,14578800,0,0
9/6/2019,4.239999771,4.360000134,4.139999866,4.309999943,6701500,0,0
9/5/2019,4.079999924,4.239999771,4.070000172,4.230000019,6892000,0,0
9/4/2019,3.880000114,4,3.849999905,3.980000019,4227100,0,0
9/3/2019,3.970000029,4.070000172,3.660000086,3.809999943,9044400,0,0
8/30/2019,4.260000229,4.360000134,3.920000076,3.970000029,10634600,0,0
8/29/2019,3.930000067,4.289999962,3.75,4.230000019,13363500,0,0
8/28/2019,3.700000048,3.970000029,3.670000076,3.880000114,6439200,0,0
8/27/2019,3.869999886,3.930000067,3.680000067,3.700000048,5701000,0,0
